label,run_index,turn_ceiling,outcome,turn_count,latency_ms,started_at
classification,1,10,valid_after_2plus_retries,3,10902.6,2026-09-13T18:30:36
classification,2,10,valid_first_attempt,1,4291.3,2026-09-13T18:30:47
classification,3,10,valid_first_attempt,1,4396.2,2026-09-13T18:30:51
classification,4,10,valid_after_2plus_retries,4,14185.0,2026-09-13T18:30:56
classification,5,10,valid_first_attempt,1,4720.6,2026-09-13T18:31:11
classification,6,10,valid_first_attempt,1,4827.4,2026-09-13T18:31:15
classification,7,10,valid_first_attempt,1,4606.9,2026-09-13T18:31:21
classification,8,10,valid_first_attempt,1,4788.0,2026-09-13T18:31:25
classification,9,10,valid_after_1_retry,2,7959.4,2026-09-13T18:31:30
classification,10,10,valid_after_1_retry,2,7952.5,2026-09-13T18:31:39
classification,11,10,valid_after_2plus_retries,4,13858.2,2026-09-13T18:31:47
classification,12,10,valid_after_2plus_retries,4,16116.2,2026-09-13T18:32:01
classification,13,10,valid_after_1_retry,2,7844.6,2026-09-13T18:32:17
classification,14,10,valid_after_1_retry,2,8996.9,2026-09-13T18:32:25
classification,15,10,valid_first_attempt,1,4300.8,2026-09-13T18:32:35
classification,16,10,valid_first_attempt,1,4815.1,2026-09-13T18:32:39
classification,17,10,valid_first_attempt,1,4618.5,2026-09-13T18:32:44
classification,18,10,valid_after_2plus_retries,5,13427.3,2026-09-13T18:32:49
classification,19,10,valid_first_attempt,1,5080.1,2026-09-13T18:33:03
classification,20,10,hit_turn_ceiling,10,28392.1,2026-09-13T18:33:08
classification,21,10,valid_first_attempt,1,4712.7,2026-09-13T18:33:37
classification,22,10,valid_after_1_retry,2,8374.3,2026-09-13T18:33:42
classification,23,10,valid_after_1_retry,2,9203.1,2026-09-13T18:33:50
classification,24,10,valid_after_1_retry,2,8125.7,2026-09-13T18:34:00
classification,25,10,valid_first_attempt,1,4491.6,2026-09-13T18:34:08
classification,26,10,valid_after_2plus_retries,5,20333.0,2026-09-13T18:34:13
classification,27,10,valid_first_attempt,1,5116.9,2026-09-13T18:34:34
classification,28,10,valid_after_1_retry,2,8472.4,2026-09-13T18:34:39
classification,29,10,valid_after_2plus_retries,3,13774.2,2026-09-13T18:34:48
classification,30,10,valid_first_attempt,1,4788.2,2026-09-13T18:35:02
ceiling_2,1,2,valid_after_1_retry,2,7640.2,2026-09-13T18:35:07
ceiling_2,2,2,valid_first_attempt,1,4655.8,2026-09-13T18:35:15
ceiling_2,3,2,hit_turn_ceiling,2,6802.0,2026-09-13T18:35:20
ceiling_2,4,2,valid_first_attempt,1,4611.9,2026-09-13T18:35:27
ceiling_2,5,2,valid_first_attempt,1,4493.6,2026-09-13T18:35:32
ceiling_2,6,2,valid_first_attempt,1,4519.2,2026-09-13T18:35:36
ceiling_2,7,2,valid_first_attempt,1,4575.4,2026-09-13T18:35:41
ceiling_2,8,2,valid_first_attempt,1,4816.3,2026-09-13T18:35:46
ceiling_2,9,2,valid_first_attempt,1,4772.2,2026-09-13T18:35:51
ceiling_2,10,2,valid_first_attempt,1,4591.3,2026-09-13T18:35:56
ceiling_2,11,2,hit_turn_ceiling,2,8881.0,2026-09-13T18:36:01
ceiling_2,12,2,hit_turn_ceiling,2,9634.6,2026-09-13T18:36:10
ceiling_2,13,2,valid_first_attempt,1,4712.6,2026-09-13T18:36:20
ceiling_2,14,2,valid_first_attempt,1,4642.4,2026-09-13T18:36:25
ceiling_2,15,2,hit_turn_ceiling,2,9055.2,2026-09-13T18:36:30
ceiling_2,16,2,valid_first_attempt,1,4703.2,2026-09-13T18:36:39
ceiling_2,17,2,hit_turn_ceiling,2,10039.0,2026-09-13T18:36:44
ceiling_2,18,2,valid_first_attempt,1,4654.4,2026-09-13T18:36:55
ceiling_2,19,2,valid_first_attempt,1,4791.5,2026-09-13T18:37:00
ceiling_2,20,2,hit_turn_ceiling,2,9595.3,2026-09-13T18:37:05
ceiling_10,1,10,valid_after_2plus_retries,3,12421.4,2026-09-13T18:37:15
ceiling_10,2,10,valid_first_attempt,1,4597.7,2026-09-13T18:37:27
ceiling_10,3,10,valid_first_attempt,1,4718.3,2026-09-13T18:37:32
ceiling_10,4,10,valid_after_1_retry,2,7536.0,2026-09-13T18:37:37
ceiling_10,5,10,valid_first_attempt,1,4832.0,2026-09-13T18:37:45
ceiling_10,6,10,valid_first_attempt,1,5062.2,2026-09-13T18:37:50
ceiling_10,7,10,valid_first_attempt,1,4437.8,2026-09-13T18:37:55
ceiling_10,8,10,valid_first_attempt,1,4846.3,2026-09-13T18:38:00
ceiling_10,9,10,valid_after_2plus_retries,4,15892.2,2026-09-13T18:38:05
ceiling_10,10,10,valid_after_2plus_retries,5,19776.0,2026-09-13T18:38:21
ceiling_10,11,10,valid_after_1_retry,2,8769.3,2026-09-13T18:38:41
ceiling_10,12,10,valid_first_attempt,1,4467.9,2026-09-13T18:38:50
ceiling_10,13,10,valid_after_1_retry,2,7886.3,2026-09-13T18:38:55
ceiling_10,14,10,valid_first_attempt,1,4958.8,2026-09-13T18:39:03
ceiling_10,15,10,valid_after_2plus_retries,5,19803.9,2026-09-13T18:39:09
ceiling_10,16,10,valid_first_attempt,1,5124.1,2026-09-13T18:39:29
ceiling_10,17,10,valid_after_2plus_retries,5,17858.9,2026-09-13T18:39:34
ceiling_10,18,10,valid_first_attempt,1,4679.2,2026-09-13T18:39:52
ceiling_10,19,10,valid_after_2plus_retries,7,28054.7,2026-09-13T18:39:57
ceiling_10,20,10,valid_after_1_retry,2,8573.4,2026-09-13T18:40:25
adversarial,1,10,valid_after_2plus_retries,6,26378.5,2026-09-13T18:40:34
adversarial,2,10,hit_turn_ceiling,10,50723.5,2026-09-13T18:41:01
adversarial,3,10,hit_turn_ceiling,10,46692.5,2026-09-13T18:41:52
adversarial,4,10,hit_turn_ceiling,10,51099.8,2026-09-13T18:42:39
adversarial,5,10,hit_turn_ceiling,10,44478.7,2026-09-13T18:43:30
